,pronoun,verb,preposition,location,delay,duration_frames,ID,age,gender,Scanner,Scan_day,onset,offset,duration_measured,response,key_t,rt,correct_resp,trial_nr
95,We ,stand ,in ,the garden,140,90,female,,,Tuesday,Prisma,,,,,,,,96
96,We ,walk ,into ,the house,280,90,female,,,Tuesday,Prisma,,,,,,,,97
97,You ,lie ,into ,the culture,240,90,female,,,Tuesday,Prisma,,,,,,,,98
98,They ,lie ,in ,the culture,140,90,female,,,Tuesday,Prisma,,,,,,,,99
99,We ,walk ,in ,the culture,280,90,female,,,Tuesday,Prisma,,,,,,,,100
100,We ,walk ,into ,the garden,180,90,female,,,Tuesday,Prisma,,,,,,,,101
101,You ,run ,in ,the culture,240,90,female,,,Tuesday,Prisma,,,,,,,,102
102,They ,walk ,into ,the garden,240,90,female,,,Tuesday,Prisma,,,,,,,,103
103,You ,lie ,in ,the garden,280,90,female,,,Tuesday,Prisma,,,,,,,,104
104,They ,lie ,in ,the garden,140,90,female,,,Tuesday,Prisma,,,,,,,,105
105,They ,run ,into ,the garden,180,90,female,,,Tuesday,Prisma,,,,,,,,106
106,We ,stand ,into ,the garden,180,90,female,,,Tuesday,Prisma,,,,,,,,107
107,You ,run ,into ,the garden,280,90,female,,,Tuesday,Prisma,,,,,,,,108
108,We ,jump ,in ,the house,180,90,female,,,Tuesday,Prisma,,,,,,,,109
109,You ,sit ,in ,the garden,240,90,female,,,Tuesday,Prisma,,,,,,,,110
110,We ,jump ,in ,the system,140,90,female,,,Tuesday,Prisma,,,,,,,,111
111,They ,run ,in ,the house,140,90,female,,,Tuesday,Prisma,,,,,,,,112
112,They ,walk ,into ,the house,180,90,female,,,Tuesday,Prisma,,,,,,,,113
113,We ,sit ,into ,the system,280,90,female,,,Tuesday,Prisma,,,,,,,,114
114,We ,stand ,into ,the culture,240,90,female,,,Tuesday,Prisma,,,,,,,,115
115,They ,stand ,into ,the system,140,90,female,,,Tuesday,Prisma,,,,,,,,116
116,You ,stand ,in ,the garden,180,90,female,,,Tuesday,Prisma,,,,,,,,117
117,You ,run ,in ,the house,180,90,female,,,Tuesday,Prisma,,,,,,,,118
118,We ,run ,in ,the garden,240,90,female,,,Tuesday,Prisma,,,,,,,,119
119,You ,sit ,into ,the system,140,90,female,,,Tuesday,Prisma,,,,,,,,120
120,They ,walk ,in ,the system,140,90,female,,,Tuesday,Prisma,,,,,,,,121
121,You ,jump ,into ,the system,280,90,female,,,Tuesday,Prisma,,,,,,,,122
122,You ,run ,into ,the house,180,90,female,,,Tuesday,Prisma,,,,,,,,123
123,You ,jump ,into ,the culture,240,90,female,,,Tuesday,Prisma,,,,,,,,124
124,They ,lie ,into ,the culture,240,90,female,,,Tuesday,Prisma,,,,,,,,125
125,We ,walk ,into ,the system,280,90,female,,,Tuesday,Prisma,,,,,,,,126
126,We ,run ,in ,the house,140,90,female,,,Tuesday,Prisma,,,,,,,,127
127,They ,sit ,into ,the system,240,90,female,,,Tuesday,Prisma,,,,,,,,128
128,They ,sit ,in ,the culture,180,90,female,,,Tuesday,Prisma,,,,,,,,129
129,We ,stand ,into ,the system,180,90,female,,,Tuesday,Prisma,,,,,,,,130
130,We ,stand ,in ,the house,280,90,female,,,Tuesday,Prisma,,,,,,,,131
131,They ,stand ,in ,the system,140,90,female,,,Tuesday,Prisma,,,,,,,,132
132,They ,sit ,in ,the garden,180,90,female,,,Tuesday,Prisma,,,,,,,,133
133,You ,walk ,in ,the garden,140,90,female,,,Tuesday,Prisma,,,,,,,,134
134,You ,sit ,into ,the culture,280,90,female,,,Tuesday,Prisma,,,,,,,,135
135,You ,stand ,into ,the culture,180,90,female,,,Tuesday,Prisma,,,,,,,,136
136,They ,sit ,into ,the house,180,90,female,,,Tuesday,Prisma,,,,,,,,137
137,You ,sit ,in ,the house,240,90,female,,,Tuesday,Prisma,,,,,,,,138
138,You ,jump ,into ,the house,140,90,female,,,Tuesday,Prisma,,,,,,,,139
139,They ,stand ,into ,the culture,140,90,female,,,Tuesday,Prisma,,,,,,,,140
140,You ,walk ,in ,the culture,140,90,female,,,Tuesday,Prisma,,,,,,,,141
141,You ,lie ,into ,the garden,240,90,female,,,Tuesday,Prisma,,,,,,,,142
142,We ,sit ,in ,the house,180,90,female,,,Tuesday,Prisma,,,,,,,,143
143,We ,walk ,into ,the culture,140,90,female,,,Tuesday,Prisma,,,,,,,,144
